"ResourceID","ResourceType","Name","Description"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Automation/automationAccounts/VBTest1","Microsoft.Automation/automationAccounts","TotalJob","Total Jobs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Automation/automationAccounts/VBTest1","Microsoft.Automation/automationAccounts","TotalUpdateDeploymentRuns","Total Update Deployment Runs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Automation/automationAccounts/VBTest1","Microsoft.Automation/automationAccounts","TotalUpdateDeploymentMachineRuns","Total Update Deployment Machine Runs"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","PacketsInDDoS","Inbound packets DDoS"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","PacketsDroppedDDoS","Inbound packets dropped DDoS"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","PacketsForwardedDDoS","Inbound packets forwarded DDoS"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","TCPPacketsInDDoS","Inbound TCP packets DDoS"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","TCPPacketsDroppedDDoS","Inbound TCP packets dropped DDoS"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","TCPPacketsForwardedDDoS","Inbound TCP packets forwarded DDoS"
"/subscriptions/c02646f3-6401-40c7-8543-69333821da9a/resourceGroups/ContosoAll/providers/Microsoft.Network/publicIPAddresses/emreg-ubuntu01-ip","Microsoft.Network/publicIPAddresses","UDPPacketsInDDoS","Inbound UDP packets DDoS"
